sp_id,segment,persona,context_scale,current_workflow,primary_pain,reaction_to_evidence_citations,reaction_to_approval_gate,main_objection,adoption_signal_hypothesis
SP11,settlement,Payments ops at a marketplace platform,~500k orders/mo,SQL jobs + exception dashboard,Total-vs-net mismatches between internal ledger and PSP reports,Positive but needs API not CSV,Requires it with role-based tiers,Demo-scale doubts - will it hold at 500k rows,Volume benchmark evidence before any pilot
SP12,settlement,Junior accountant who abandoned an auto-reconciliation SaaS,~5k orders/mo,Back to Excel after the SaaS mis-matched refunds,Prior tool auto-matched wrongly and hid its logic,Very positive - transparency is why the last tool was dropped,Requires it - burned by silent auto-actions,Fear of repeating a failed rollout,Side-by-side explainability comparison vs old tool
SP13,settlement,Shared-services reconciliation lead (retail group),8 entities,Team of 4 doing inter-company and PSP recs,Investigation notes live in individuals' heads and emails,Positive - evidence trail is institutional memory,Positive,Change management across 4 staff,Would pilot on one entity for one quarter
SP14,growth,Taobao home-goods merchant,~600 SKUs GMV ~2M RMB/yr,Sales exports + a selection spreadsheet updated ad hoc,Long-tail SKUs tie up cash but delisting feels risky,Positive - wants the reason codes before delisting,Requires it - delisting is irreversible in practice,Data export from Taobao backend is tedious,Cash-released-per-month estimate on own data
SP15,growth,Douyin beauty seller with live-stream team,~80 SKUs high return rate,Post-stream review meeting with screenshots,Cannot tell if a spike came from traffic or discount depth,Positive - matches how the team argues in reviews,Neutral,Team decides in meetings not tools,Weekly one-page evidence brief for the review meeting
SP16,growth,Amazon FBA seller,~200 SKUs USD1.5M/yr,Inventory-value spreadsheet maintained manually,Inventory value and cash pressure invisible without spreadsheet joins,Positive,Positive - price changes need owner sign-off,Fear of any tool touching the seller account,Read-only CSV mode as entry point
SP17,growth,Shopify apparel merchant,~150 SKUs seasonal,Unit-cost updates by hand each PO,Margin numbers drift as unit costs change mid-season,Positive - wants observed cost vs assumed margin separated,Neutral,Already pays for 3 analytics apps,Replace-two-apps value framing
SP18,growth,Category manager at a mid-size distributor,~3k SKUs,BI dashboard + quarterly assortment review,Dashboard shows metrics but never says what to do next,Very positive - ranked actions with evidence is the ask,Positive,Procurement committee moves quarterly regardless,Monthly pre-read pack for the committee
SP19,growth,Cross-border seller (Shopee/Lazada),~400 SKUs thin margins,Weekly CSV exports per market,Archived and out-of-stock SKUs pollute every analysis,Positive - eligibility filters before recommendations,Neutral,Multi-market data model differences,Multi-shop consolidation as the hook
SP20,growth,Former merchant who quit a BI tool after 2 months,~100 SKUs,Back to spreadsheets,BI setup cost exceeded insight value,Skeptical - asks who checks the evidence itself,Indifferent,Setup effort trauma from last tool,Zero-setup demo on own exported CSV within 10 minutes
SP21,growth,Owner of a plastics e-commerce line,~120 SKUs factory-direct,Sales review with factory production constraints,Promotion decisions ignore production lead times,Positive,Requires it - price moves affect factory planning,Recommendations must respect supply constraints,Constraint-aware config option
SP22,growth,New-brand operator on Xiaohongshu,~30 SKUs early stage,Gut feel + platform analytics,Too little data for statistics - fears wrong early bets,Positive but worried thin data misleads,Requires it,Sample-size honesty - will it admit uncertainty,Explicit insufficient-evidence outputs build trust
SP23,growth,Marketplace agency operator managing 12 shops,Mixed catalogs,Analyst team builds monthly decks,Deck production consumes the analysts the clients pay for,Very positive - evidence-cited output is client-deliverable,Positive - agency cannot act without client approval anyway,White-label and multi-tenant needs,Agency tier with client-facing reports
SP24,growth,Grocery e-commerce planner,~5k SKUs perishable,Replenishment system + manual overrides,Slow-mover recommendations ignore shelf-life urgency,Positive,Requires it,Perishable logic missing from generic models,Domain-rule extension point
SP25,growth,Solo dropshipper,~60 rotating SKUs,Weekly winners/losers eyeball scan,Catalog churns weekly - analysis is stale on arrival,Indifferent - speed over rigor,Indifferent,Any friction beyond upload-and-answer,Instant single-file scoring
SP26,skeptic,Internal auditor at a retail group,Reviews finance tooling,Sampling-based control testing,Automation that cannot show its logic fails audit,Very positive - decision trace maps to control evidence,Requires it - approval log is the control,Model nondeterminism in narration,Deterministic-decision plus logged-narration split passes review
SP27,skeptic,IT security lead at an SMB holding,Gatekeeps SaaS purchases,Vendor security questionnaires,Finance data leaving the boundary,Indifferent to product value,Positive - human gate limits blast radius,Data residency and key handling,Local-mode (provider=none) removes the LLM data path
SP28,skeptic,CFO buyer at a series-B commerce startup,Approves tooling spend,Board-pack numbers built by a lean team,Tools that add dashboards but not decisions,Positive - asks what happens when evidence is wrong,Requires it,ROI proof before headcount-equivalent pricing,Recovered-amount and close-days pilot metrics
SP29,skeptic,Operations consultant who implements finance tools,Implements for clients,Process mapping then tool config,Tools that hardcode one workflow and break on client variance,Positive - policy/config separation matters,Positive,Implementation-partner enablement absent,Config-as-code and a partner sandbox
SP30,skeptic,Accounting professor / former Big-4 manager,Advises SMB programs,Evaluates tools for a curriculum,Students trust AI outputs uncritically,Very positive - citation-verification teaches skepticism,Requires it,None fundamental - wants error-case library,Published failure cases (like the 20/60 eval) as teaching material
